日期,sales_for_trend,产品分类
2021-03-20 00:00:00,891.25,单原咖啡 (Single Origin Coffee) 
2021-03-20 00:00:00,190,卡布奇诺 (Cappuccino) 
2021-03-20 00:00:00,5,拿铁咖啡 (Latte) 
2021-03-20 00:00:00,1923.5,浓缩咖啡 (Espresso) 
2021-03-20 00:00:00,241.5,混合咖啡 (Blend Coffee) 
2021-03-20 00:00:00,162.75,美式咖啡 (Americano) 
2021-03-20 00:00:00,87.44999694824219,超滤咖啡 (Filtered Coffee) 
2021-03-20 00:00:00,4916.5,首选咖啡 (Preferential Coffee) 
2021-03-21 00:00:00,48,冰咖啡 (Iced Coffee) 
2021-03-21 00:00:00,481.25,单原咖啡 (Single Origin Coffee) 
2021-03-21 00:00:00,264,卡布奇诺 (Cappuccino) 
2021-03-21 00:00:00,1394.5,浓缩咖啡 (Espresso) 
2021-03-21 00:00:00,159.5,混合咖啡 (Blend Coffee) 
2021-03-21 00:00:00,681,美式咖啡 (Americano) 
2021-03-21 00:00:00,151.0500030517578,超滤咖啡 (Filtered Coffee) 
2021-03-21 00:00:00,5050.75,首选咖啡 (Preferential Coffee) 
2021-03-22 00:00:00,275,冰咖啡 (Iced Coffee) 
2021-03-22 00:00:00,924.5,单原咖啡 (Single Origin Coffee) 
2021-03-22 00:00:00,222,卡布奇诺 (Cappuccino) 
2021-03-22 00:00:00,159.60000610351562,拿铁咖啡 (Latte) 
2021-03-22 00:00:00,2126.5,浓缩咖啡 (Espresso) 
2021-03-22 00:00:00,110,混合咖啡 (Blend Coffee) 
2021-03-22 00:00:00,663,美式咖啡 (Americano) 
2021-03-22 00:00:00,23.850000381469727,超滤咖啡 (Filtered Coffee) 
2021-03-22 00:00:00,5365.75,首选咖啡 (Preferential Coffee) 
2021-03-23 00:00:00,42.5,冰咖啡 (Iced Coffee) 
2021-03-23 00:00:00,511.25,单原咖啡 (Single Origin Coffee) 
2021-03-23 00:00:00,189,卡布奇诺 (Cappuccino) 
2021-03-23 00:00:00,1517.25,浓缩咖啡 (Espresso) 
2021-03-23 00:00:00,252,混合咖啡 (Blend Coffee) 
2021-03-23 00:00:00,538.5,美式咖啡 (Americano) 
2021-03-23 00:00:00,5707,首选咖啡 (Preferential Coffee) 
2021-03-24 00:00:00,1107.25,单原咖啡 (Single Origin Coffee) 
2021-03-24 00:00:00,108,卡布奇诺 (Cappuccino) 
2021-03-24 00:00:00,153,拿铁咖啡 (Latte) 
2021-03-24 00:00:00,1545.5,浓缩咖啡 (Espresso) 
2021-03-24 00:00:00,159,混合咖啡 (Blend Coffee) 
2021-03-24 00:00:00,568.25,美式咖啡 (Americano) 
2021-03-24 00:00:00,163.00000190734863,超滤咖啡 (Filtered Coffee) 
2021-03-24 00:00:00,4590.25,首选咖啡 (Preferential Coffee) 
2021-03-25 00:00:00,60,冰咖啡 (Iced Coffee) 
2021-03-25 00:00:00,773.75,单原咖啡 (Single Origin Coffee) 
2021-03-25 00:00:00,246,卡布奇诺 (Cappuccino) 
2021-03-25 00:00:00,40,拿铁咖啡 (Latte) 
2021-03-25 00:00:00,2635.25,浓缩咖啡 (Espresso) 
2021-03-25 00:00:00,165,混合咖啡 (Blend Coffee) 
2021-03-25 00:00:00,762.75,美式咖啡 (Americano) 
2021-03-25 00:00:00,147.14999771118164,超滤咖啡 (Filtered Coffee) 
2021-03-25 00:00:00,5217,首选咖啡 (Preferential Coffee) 
2021-03-26 00:00:00,1137.25,单原咖啡 (Single Origin Coffee) 
2021-03-26 00:00:00,212,卡布奇诺 (Cappuccino) 
2021-03-26 00:00:00,699.6499938964844,拿铁咖啡 (Latte) 
2021-03-26 00:00:00,1738.75,浓缩咖啡 (Espresso) 
2021-03-26 00:00:00,187,混合咖啡 (Blend Coffee) 
2021-03-26 00:00:00,450.5,美式咖啡 (Americano) 
2021-03-26 00:00:00,5979,首选咖啡 (Preferential Coffee) 
2021-03-27 00:00:00,12,冰咖啡 (Iced Coffee) 
2021-03-27 00:00:00,743.5,单原咖啡 (Single Origin Coffee) 
2021-03-27 00:00:00,156,卡布奇诺 (Cappuccino) 
2021-03-27 00:00:00,2188.25,浓缩咖啡 (Espresso) 
2021-03-27 00:00:00,115.5,混合咖啡 (Blend Coffee) 
2021-03-27 00:00:00,730.5,美式咖啡 (Americano) 
2021-03-27 00:00:00,5291.25,首选咖啡 (Preferential Coffee) 
2021-03-28 00:00:00,1124,单原咖啡 (Single Origin Coffee) 
2021-03-28 00:00:00,224,卡布奇诺 (Cappuccino) 
2021-03-28 00:00:00,637.6000137329102,拿铁咖啡 (Latte) 
2021-03-28 00:00:00,1268.75,浓缩咖啡 (Espresso) 
2021-03-28 00:00:00,116,混合咖啡 (Blend Coffee) 
2021-03-28 00:00:00,912.25,美式咖啡 (Americano) 
2021-03-28 00:00:00,127.19999694824219,超滤咖啡 (Filtered Coffee) 
2021-03-28 00:00:00,4099.75,首选咖啡 (Preferential Coffee) 
2021-03-29 00:00:00,719.25,单原咖啡 (Single Origin Coffee) 
2021-03-29 00:00:00,186,卡布奇诺 (Cappuccino) 
2021-03-29 00:00:00,36,拿铁咖啡 (Latte) 
2021-03-29 00:00:00,1878,浓缩咖啡 (Espresso) 
2021-03-29 00:00:00,170.5,混合咖啡 (Blend Coffee) 
2021-03-29 00:00:00,484,美式咖啡 (Americano) 
2021-03-29 00:00:00,23.850000381469727,超滤咖啡 (Filtered Coffee) 
2021-03-29 00:00:00,4458.5,首选咖啡 (Preferential Coffee) 
2021-03-30 00:00:00,1219.75,单原咖啡 (Single Origin Coffee) 
2021-03-30 00:00:00,216,卡布奇诺 (Cappuccino) 
2021-03-30 00:00:00,184.5500030517578,拿铁咖啡 (Latte) 
2021-03-30 00:00:00,2188,浓缩咖啡 (Espresso) 
2021-03-30 00:00:00,126.5,混合咖啡 (Blend Coffee) 
2021-03-30 00:00:00,725.5,美式咖啡 (Americano) 
2021-03-30 00:00:00,15.899999618530273,超滤咖啡 (Filtered Coffee) 
2021-03-30 00:00:00,4786,首选咖啡 (Preferential Coffee) 
2021-03-31 00:00:00,425,冰咖啡 (Iced Coffee) 
2021-03-31 00:00:00,399.75,单原咖啡 (Single Origin Coffee) 
2021-03-31 00:00:00,174,卡布奇诺 (Cappuccino) 
2021-03-31 00:00:00,1645,浓缩咖啡 (Espresso) 
2021-03-31 00:00:00,198,混合咖啡 (Blend Coffee) 
2021-03-31 00:00:00,619,美式咖啡 (Americano) 
2021-03-31 00:00:00,5976.25,首选咖啡 (Preferential Coffee) 
